id;position;date;best_thing;worst_thing;entire_review
11;Assistant manager at Caffe Nero; November 2024;"
The team effort and the fun";"
Too much work";"
The team effort and the fun
Too much work"
12;Shift leader at Caffe Nero; October 2024;"
Some of the people I work with";"
Management in general, the pay, stress, over expectation";"
Some of the people I work with
Management in general, the pay, stress, over expectation"
13;Barista at Caffe Nero; September 2024;"
Making coffee";"
Customers not cleaning up after themselves, feeling awkward around my team and not feeling feeling as if I fit in";"
Making coffee
Customers not cleaning up after themselves, feeling awkward around my team and not feeling feeling as if I fit in"
14;Barista at Caffe Nero; August 2024;"
Learning new things and being able to practice my customer service skills";"
Being on your feet for 6+ hours can be draining. You are constantly busy.";"
Learning new things and being able to practice my customer service skills
Being on your feet for 6+ hours can be draining. You are constantly busy."
15;Barista at Caffe Nero; June 2024;"
Free coffee
Day shifts
Pay every two weeks";"
Pay
Unpaid breaks";"
Free coffee
Day shifts
Pay every two weeks
Pay
Unpaid breaks"
16;Employee at Caffe Nero; May 2024;"
Make coffes , the team and some costumers";"
The paid , the amount job to do and the less training for managers and not keep goof workers cause the paid is really bad";"
Make coffes , the team and some costumers
The paid , the amount job to do and the less training for managers and not keep goof workers cause the paid is really bad"
17;Assistant manager at Caffe Nero; November 2023; ;"
Over worked over time not paid
Not enough time to set up
Unrealistic goals from head office";"Over worked over time not paid
Not enough time to set up
Unrealistic goals from head office"
18;Barista at Caffe Nero; October 2023;"
Already know what to do due experiencia";"
Payment";"
Already know what to do due experiencia
Payment"
19;Assistant manager at Caffe Nero; September 2023;"
Staff and setting my own rotas";"
Don’t have enough people working on shifts";"
Staff and setting my own rotas
Don’t have enough people working on shifts"
20;Store manager at Caffe Nero; September 2023;"
Fun coffee filled job";"
Cost saving that head office expects that effects moral of the team";"
Fun coffee filled job
Cost saving that head office expects that effects moral of the team"
21;Assistant manager at Caffe Nero; August 2023;"
High paced, physically demanding work but relatively easy work once you are a skilled barista. Free drinks all day. Can chat to co workers and customers all day. It’s fun to work most days. Our manager is great so ensures shifts work around our out of work commitments. We have a well trained team who take active roles in the weekly maintenance of the store so it doesn’t fall solely on management.";"
Too demanding at times that feels unrealistic with the resources we have - we can get very busy and then have Deliveroo orders come through and you don’t have time or space to do them and also have a whole queue of customers to serve. Like most hospitality, they added delivery service and made it part of job requirement with no extra staff or space accommodations apart from an iPad. The pay is also lower then every other coffee chain. Independents pay more also.";"
High paced, physically demanding work but relatively easy work once you are a skilled barista. Free drinks all day. Can chat to co workers and customers all day. It’s fun to work most days. Our manager is great so ensures shifts work around our out of work commitments. We have a well trained team who take active roles in the weekly maintenance of the store so it doesn’t fall solely on management.
Too demanding at times that feels unrealistic with the resources we have - we can get very busy and then have Deliveroo orders come through and you don’t have time or space to do them and also have a whole queue of customers to serve. Like most hospitality, they added delivery service and made it part of job requirement with no extra staff or space accommodations apart from an iPad. The pay is also lower then every other coffee chain. Independents pay more also."
22;Barista at Caffe Nero; August 2023;"
the team
the discounts
free drinks on shift";"
it’s very busy and stressful.
short unpaid breaks (20 minutes).
it’s a very small bar and not a lot of space.
the customers can be really rude.
there aren’t enough people on shifts so you have to do every role.
you never get out on time after a close.
lots of heavy lifting of furniture.
they reduced 18-20 y/o pay rate.
a small team means it’s difficult when people are sick and you have to cover in short notice.";"
the team
the discounts
free drinks on shift
it’s very busy and stressful.
short unpaid breaks (20 minutes).
it’s a very small bar and not a lot of space.
the customers can be really rude.
there aren’t enough people on shifts so you have to do every role.
you never get out on time after a close.
lots of heavy lifting of furniture.
they reduced 18-20 y/o pay rate.
a small team means it’s difficult when people are sick and you have to cover in short notice."
23;Shift leader at Caffe Nero; August 2023;"
The Team";"
Short Unpaid breaks, Awful Pay";"
The Team
Short Unpaid breaks, Awful Pay"
24;Shift leader at Caffe Nero; July 2023;"
Working with people I like and making coffees";"
Arrogant Customers";"
Working with people I like and making coffees
Arrogant Customers"
25;Barista at Caffe Nero; July 2023;"
I get to have a great team that I’m friends with and often get some cool customers.";"
Sometimes don’t get the best of customers. My hours can have drastic changes sometimes leaving me without enough sleep";"
I get to have a great team that I’m friends with and often get some cool customers.
Sometimes don’t get the best of customers. My hours can have drastic changes sometimes leaving me without enough sleep"
26;Assistant manager at Caffe Nero; July 2023;"
Working with some of my best mates";"
The stress it brings and always pulling too much of my weight when others dont";"
Working with some of my best mates
The stress it brings and always pulling too much of my weight when others dont"
27;Barista at Caffe Nero; May 2023;"
It’s easy and quite";"
Long hours and we are underpaid with 20 mins break for 12 hour shift";"
It’s easy and quite
Long hours and we are underpaid with 20 mins break for 12 hour shift"
28;Shift leader at Caffe Nero; May 2023;"
Everyone is super supportive! No matter how busy it gets with this team it’s a breeze because everyone works so well together!";"
On your feet all day";"
Everyone is super supportive! No matter how busy it gets with this team it’s a breeze because everyone works so well together!
On your feet all day"
29;Shift leader at Caffe Nero; May 2023;"
The costumers";"
Horribly over worked and underpaid. Not compensated for working bank holidays, Sundays or national holidays. Can be forced to work above contact up to 40 hours a week for extended periods of time or forever and not be compensated for overtime; you do not hold a right to refuse the extra hours.";"
The costumers
Horribly over worked and underpaid. Not compensated for working bank holidays, Sundays or national holidays. Can be forced to work above contact up to 40 hours a week for extended periods of time or forever and not be compensated for overtime; you do not hold a right to refuse the extra hours."
30;Employee at Caffe Nero; April 2023;"
Not applicable";"
Management (area and regional level) and the mindset of the business owner";"
Not applicable
Management (area and regional level) and the mindset of the business owner"
31;Shift leader at Caffe Nero; April 2023;"
Fun team - free coffee on shift";"
Hard work, often work extra time unpaid, little accommodation for illness or disability";"
Fun team - free coffee on shift
Hard work, often work extra time unpaid, little accommodation for illness or disability"
32;Shift leader at Caffe Nero; April 2023;"
Depends what shop you're in but mine is great, team and manager are all very supportive and nice";"
The customers expecting a lot more from us mere baristas like we aren't getting paid minimum wage";"
Depends what shop you're in but mine is great, team and manager are all very supportive and nice
The customers expecting a lot more from us mere baristas like we aren't getting paid minimum wage"
33;Assistant manager at Caffe Nero; April 2023;"
I enjoy making coffee";"
Everything else";"
I enjoy making coffee
Everything else"
34;Shift leader at Caffe Nero; March 2023;"
The team is wonderful. My manager is very understanding and accommodating.";"
It’s very busy. There isn’t enough time for the 20 minute unpaid break to eat or even relax. On my feet for hours a day. Worst part- ‘customers come first’ but we aren’t given the tips we have earnes.";"
The team is wonderful. My manager is very understanding and accommodating.
It’s very busy. There isn’t enough time for the 20 minute unpaid break to eat or even relax. On my feet for hours a day. Worst part- ‘customers come first’ but we aren’t given the tips we have earnes."
35;Barista at Caffe Nero; February 2023;"
Serving customers, making coffee and enjoying my break time";"
Less pay, not getting holidays when requested and to much violation from the employees.";"
Serving customers, making coffee and enjoying my break time
Less pay, not getting holidays when requested and to much violation from the employees."
36;Shift leader at Caffe Nero; February 2023;"
Coworkers and free coffee on shift";"
Non stop work. No time to take a breather! So busy and intense that I just feel absolutely exhausted when I’m done with my shift. Breaks are too short and unpaid. The caffe is understaffed in my opinion but they say it’s not busy enough, doesn’t bring in enough money to add another member of staff to the shift to relieve the stress and workload on us.";"
Coworkers and free coffee on shift
Non stop work. No time to take a breather! So busy and intense that I just feel absolutely exhausted when I’m done with my shift. Breaks are too short and unpaid. The caffe is understaffed in my opinion but they say it’s not busy enough, doesn’t bring in enough money to add another member of staff to the shift to relieve the stress and workload on us."
37;Barista at Caffe Nero; February 2023;"
Friendly environment, lovely customers and coworkers, holiday is good";"
Low pay (including getting lower pay for training periods), you only get 3 sick days every 3 months";"
Friendly environment, lovely customers and coworkers, holiday is good
Low pay (including getting lower pay for training periods), you only get 3 sick days every 3 months"
38;Shift leader at Caffe Nero; February 2023;"
The team i get to work with is amazing and i've been able to become friendly with regular customers too!";"
The amount of training you get is pretty much up to your manager. You're gonna need to ask for help with things a lot for a while too, the training never covers everything. Lots of lone closes due to hour cuts, means you won't get paid for the time it may take you to close the shop.";"
The team i get to work with is amazing and i've been able to become friendly with regular customers too!
The amount of training you get is pretty much up to your manager. You're gonna need to ask for help with things a lot for a while too, the training never covers everything. Lots of lone closes due to hour cuts, means you won't get paid for the time it may take you to close the shop."
39;Shift leader at Caffe Nero; January 2023;"
It pays the bills and you can have a laugh with some off the staff";"
The management from head office to the assistant managers are all arseholes";"
It pays the bills and you can have a laugh with some off the staff
The management from head office to the assistant managers are all arseholes"
40;Store manager at Caffe Nero; January 2023;"
Great people and really invests in development";"
Restricted hours for rotas";"
Great people and really invests in development
Restricted hours for rotas"
41;Assistant manager at Caffe Nero; January 2023;"
The team";"
Management, treatment, customers, pay, the list goes on";"
The team
Management, treatment, customers, pay, the list goes on"
42;Assistant manager at Caffe Nero; January 2023;"
The people you tend to work with is nice and kind.";"
The way management treats you is terrible.";"
The people you tend to work with is nice and kind.
The way management treats you is terrible."
43;Shift leader at Caffe Nero; January 2023;"
Free Coffee , regular customers and discount";"
The stress of a closing shift";"
Free Coffee , regular customers and discount
The stress of a closing shift"
44;Shift leader at Caffe Nero; November 2022;"
The team I currently work with are amazing, and I really believe in the more authentic coffee experience we provide.";"
The pay is appalling - an assistant manager at Nero is paid less than a team member at Pret.
There is no bonus scheme or mystery shopper.
Breaks are 20mins long and are docked from your pay.
Head Office are completely clueless - I work(ed, I am leaving after this treatment) at a shop that brought in L28k a week. For reference, most Neros might average L16k-L20k in our area. We do not receive any reward for this, are not paid more for the more intense environment than the street-facing shops.";"
The team I currently work with are amazing, and I really believe in the more authentic coffee experience we provide.
The pay is appalling - an assistant manager at Nero is paid less than a team member at Pret.
There is no bonus scheme or mystery shopper.
Breaks are 20mins long and are docked from your pay.
Head Office are completely clueless - I work(ed, I am leaving after this treatment) at a shop that brought in L28k a week. For reference, most Neros might average L16k-L20k in our area. We do not receive any reward for this, are not paid more for the more intense environment than the street-facing shops."
45;Barista at Caffe Nero; November 2022;"
There’s a really good environment, great people to work with";"
Can be stressful but that’s part of Hospitality";"
There’s a really good environment, great people to work with
Can be stressful but that’s part of Hospitality"
46;Shift leader at Caffe Nero; September 2022;"
My team, the lovely regulars who make my job satisfying, the relaxed atmosphere, the flexibility, it's good job for uni students because you can do your minimum contracted hours or more hours depending on the week, I have good manager, easy job once trained.";"
Minimum wage, 20 minute lunch break, rude customers, constant staff shortages, not being paid for work you're doing (for example, having to work beyond paid hours to properly close the shop), head office pandering to ridiculous complaints made by difficult to deal with and entitled regulars.";"
My team, the lovely regulars who make my job satisfying, the relaxed atmosphere, the flexibility, it's good job for uni students because you can do your minimum contracted hours or more hours depending on the week, I have good manager, easy job once trained.
Minimum wage, 20 minute lunch break, rude customers, constant staff shortages, not being paid for work you're doing (for example, having to work beyond paid hours to properly close the shop), head office pandering to ridiculous complaints made by difficult to deal with and entitled regulars."
47;Barista at Caffe Nero; August 2022; ;"
Rude and sometimes aggressive customers, stressful enviroment, cleaning toilets, often understaffed,";Rude and sometimes aggressive customers, stressful enviroment, cleaning toilets, often understaffed,
48;Shift leader at Caffe Nero; July 2022;"
The staff and regular customers";"
Only having 30-40 mins to clean after a close when it takes about an hour";"
The staff and regular customers
Only having 30-40 mins to clean after a close when it takes about an hour"
49;Shift leader at Caffe Nero; June 2022;"
Good training, good amount of hours, good discounts & benefits";"
Pay is too low, breaks are too short, overtime is unpaid, can be made to work over 48 hours a week unless you give 3 months written notice";"
Good training, good amount of hours, good discounts & benefits
Pay is too low, breaks are too short, overtime is unpaid, can be made to work over 48 hours a week unless you give 3 months written notice"
50;Shift leader at Caffe Nero; May 2022;"
Interaction with public, regular customers are really pleased to see you daily.
When the right team is on it feels effortless.
Half price coffee!";"
Head office don't seem to appreciate the store staff.
Alot of words with little action on behalf of staff wellbeing.
Underpaid compared with other high Street coffee shops.
The ladder of promotion is quite narrow and doesn't have too many pathways into other roles in the company.";"
Interaction with public, regular customers are really pleased to see you daily.
When the right team is on it feels effortless.
Half price coffee!
Head office don't seem to appreciate the store staff.
Alot of words with little action on behalf of staff wellbeing.
Underpaid compared with other high Street coffee shops.
The ladder of promotion is quite narrow and doesn't have too many pathways into other roles in the company."
